Portfolio,TSLA_weight,BND_weight,SPY_weight,Expected_Return,Volatility,Sharpe
Pure_Max_Sharpe,0.49999999999998895,0.5000000000000125,0.0,0.7567584863868149,0.12941711704580872,5.692898305917528
Pure_Min_Vol,0.4999999999999999,0.5000000000000004,0.0,0.75675848638683,0.12941711704580589,5.692898305917769
Blend_Max_Sharpe,0.5,0.4999999999999989,0.0,0.42058026182873287,0.12941711704580552,3.095264915281281
Blend_Min_Vol,0.4999999999999999,0.5000000000000004,0.0,0.42058026182873287,0.12941711704580589,3.0952649152812723
